G	P1D	P1L	P1Fs	P1Ts	P1DTs	P1Fit	P1Behav	P2D	P2L	P2Fs	P2Ts	P2DTs	P2Fit	P2Behav	CD	CL	CFs	CTs	CDTs	CFit	CBehav	Mod_D
2	4	50	20	30	5	8.0	25.0	3	11	4	7	4	8.0	25.0	3	10	5	5	4	14.0	43.75	2
2	2	6	2	4	3	8.0	25.0	4	51	20	31	5	6.0	18.75	1	3	1	2	2	10.0	31.25	1
2	3	11	4	7	3	8.0	25.0	6	54	22	32	5	8.0	25.0	1	4	1	3	2	10.0	31.25	1
2	2	5	2	3	3	8.0	25.0	4	15	7	8	4	6.0	18.75	3	8	3	5	3	10.0	31.25	2
2	2	5	2	3	3	8.0	25.0	4	15	7	8	4	6.0	18.75	4	12	6	6	4	8.0	25.0	2
2	4	51	20	31	5	6.0	18.75	2	5	2	3	3	8.0	25.0	6	55	22	33	5	7.0	21.875	4
2	4	51	20	31	5	6.0	18.75	2	5	2	3	3	8.0	25.0	0	1	0	1	1	10.0	31.25	0
2	2	7	3	4	3	8.0	25.0	6	138	71	67	5	10.0	31.25	4	25	13	12	4	12.0	37.5	2
2	2	5	2	3	3	8.0	25.0	2	6	2	4	3	8.0	25.0	1	4	1	3	3	10.0	31.25	1
2	4	10	4	6	5	8.0	25.0	6	138	71	67	5	10.0	31.25	4	11	4	7	5	11.0	34.375	4
2	4	10	4	6	5	8.0	25.0	6	138	71	67	5	10.0	31.25	6	137	71	66	5	11.0	34.375	6
2	2	5	2	3	3	8.0	25.0	2	8	3	5	3	8.0	25.0	1	4	1	3	2	10.0	31.25	1
2	3	11	4	7	3	8.0	25.0	4	14	6	8	4	8.0	25.0	1	2	1	1	1	22.0	68.75	1
2	3	11	4	7	3	8.0	25.0	4	14	6	8	4	8.0	25.0	4	23	9	14	4	10.0	31.25	2
2	4	15	7	8	4	6.0	18.75	5	11	6	5	5	7.0	21.875	9	25	13	12	5	8.0	25.0	4
2	4	15	7	8	4	6.0	18.75	5	11	6	5	5	7.0	21.875	0	1	0	1	1	10.0	31.25	0
2	5	53	22	31	5	7.0	21.875	2	6	2	4	3	8.0	25.0	5	54	22	32	5	9.0	28.125	4
2	5	53	22	31	5	7.0	21.875	2	6	2	4	3	8.0	25.0	2	5	2	3	2	10.0	31.25	2
2	4	14	6	8	4	8.0	25.0	4	11	4	7	4	8.0	25.0	6	20	8	12	5	10.0	31.25	4
2	4	14	6	8	4	8.0	25.0	4	11	4	7	4	8.0	25.0	2	5	2	3	2	10.0	31.25	2
2	2	5	2	3	3	8.0	25.0	4	11	4	7	4	8.0	25.0	2	6	2	4	3	12.0	37.5	2
2	3	9	4	5	5	7.0	21.875	5	14	7	7	5	8.0	25.0	2	5	2	3	3	12.0	37.5	2
2	3	9	3	6	3	10.0	31.25	2	5	2	3	3	8.0	25.0	2	6	2	4	2	10.0	31.25	1
2	4	49	20	29	5	8.0	25.0	3	8	3	5	3	8.0	25.0	2	6	2	4	3	12.0	37.5	2
2	2	6	2	4	3	8.0	25.0	3	12	5	7	4	8.0	25.0	2	5	2	3	3	12.0	37.5	2
2	2	6	2	4	3	8.0	25.0	2	5	2	3	3	8.0	25.0	1	3	1	2	2	10.0	31.25	1
2	2	6	2	4	3	8.0	25.0	2	5	2	3	3	8.0	25.0	3	8	3	5	4	10.0	31.25	2
2	2	6	2	4	3	8.0	25.0	5	11	6	5	5	7.0	21.875	3	5	3	2	2	10.0	31.25	2
2	2	6	2	4	3	8.0	25.0	5	11	6	5	5	7.0	21.875	4	12	5	7	5	8.0	25.0	4
2	4	49	20	29	5	8.0	25.0	4	15	7	8	4	6.0	18.75	4	41	18	23	5	18.0	56.25	3
2	4	49	20	29	5	8.0	25.0	4	15	7	8	4	6.0	18.75	4	23	9	14	5	19.0	59.375	3
2	2	7	3	4	3	8.0	25.0	5	11	6	5	5	7.0	21.875	3	5	3	2	2	10.0	31.25	2
2	2	7	3	4	3	8.0	25.0	5	11	6	5	5	7.0	21.875	4	13	6	7	4	10.0	31.25	4
2	4	10	4	6	5	8.0	25.0	4	11	5	6	4	8.0	25.0	2	5	2	3	3	12.0	37.5	1
2	4	10	4	6	5	8.0	25.0	4	51	20	31	5	6.0	18.75	2	13	4	9	4	10.0	31.25	1
2	4	10	4	6	5	8.0	25.0	4	51	20	31	5	6.0	18.75	6	48	20	28	5	8.0	25.0	3
2	2	5	2	3	3	8.0	25.0	1	4	1	3	2	10.0	31.25	1	3	1	2	1	10.0	31.25	1
2	5	121	57	64	5	9.0	28.125	4	15	7	8	4	6.0	18.75	3	15	6	9	4	16.0	50.0	3
2	4	49	20	29	5	9.0	28.125	5	121	57	64	5	9.0	28.125	5	51	22	29	5	10.0	31.25	4
2	2	6	2	4	3	8.0	25.0	4	12	5	7	3	8.0	25.0	4	12	5	7	3	10.0	31.25	2
2	2	6	2	4	3	8.0	25.0	4	12	5	7	3	8.0	25.0	2	6	2	4	3	10.0	31.25	2
2	4	14	6	8	4	8.0	25.0	3	8	3	5	3	8.0	25.0	4	15	6	9	4	10.0	31.25	4
2	4	11	5	6	4	8.0	25.0	6	60	30	30	5	8.0	25.0	7	47	21	26	5	10.0	31.25	3
2	4	11	5	6	4	8.0	25.0	6	60	30	30	5	8.0	25.0	5	24	14	10	5	12.0	37.5	2
2	3	9	4	5	5	7.0	21.875	3	11	4	7	3	8.0	25.0	3	8	3	5	3	10.0	31.25	3
2	2	5	2	3	3	8.0	25.0	4	50	20	30	5	8.0	25.0	1	3	1	2	2	10.0	31.25	1
2	2	5	2	3	3	8.0	25.0	4	50	20	30	5	8.0	25.0	5	52	21	31	5	9.0	28.125	4
2	2	7	3	4	3	8.0	25.0	4	15	7	8	4	6.0	18.75	4	12	6	6	4	8.0	25.0	2
2	2	7	3	4	3	8.0	25.0	4	10	4	6	5	8.0	25.0	0	1	0	1	1	10.0	31.25	0
2	2	7	3	4	3	8.0	25.0	4	10	4	6	5	8.0	25.0	6	16	7	9	5	10.0	31.25	4
2	4	11	5	6	4	8.0	25.0	2	7	2	5	3	8.0	25.0	1	3	1	2	2	10.0	31.25	1
2	4	49	20	29	5	9.0	28.125	4	51	20	31	5	6.0	18.75	4	45	19	26	5	10.0	31.25	3
2	3	11	4	7	4	8.0	25.0	5	14	6	8	5	8.0	25.0	2	8	3	5	3	10.0	31.25	2
2	3	11	4	7	4	8.0	25.0	5	14	6	8	5	8.0	25.0	5	17	7	10	5	11.0	34.375	1
2	4	15	7	8	4	6.0	18.75	4	51	20	31	5	6.0	18.75	4	15	7	8	5	8.0	25.0	3
2	4	11	5	6	4	8.0	25.0	3	11	4	7	4	8.0	25.0	1	4	1	3	3	10.0	31.25	1
2	4	11	5	6	4	8.0	25.0	3	11	4	7	4	8.0	25.0	6	18	8	10	5	10.0	31.25	3
