G	P1PT	P1SC	P1NC	P2PT	P2SC	P2NC	CPT	CSC	CNC
11	8.0	0.4375	11	8.0	0.4375	11	9.0	0.46875	10
12	9.0	0.46875	10	9.0	0.46875	10	10.0	0.5	9
12	9.0	0.46875	10	9.0	0.46875	10	10.0	0.5	9
12	9.0	0.46875	10	9.0	0.46875	10	10.0	0.5	9
12	9.0	0.46875	10	9.0	0.46875	10	10.0	0.5	9
12	9.0	0.46875	10	9.0	0.46875	10	10.0	0.5	9
12	9.0	0.46875	10	9.0	0.46875	10	10.0	0.5	9
12	9.0	0.46875	10	9.0	0.46875	10	10.0	0.5	9
13	9.0	0.46875	10	9.0	0.46875	10	10.0	0.5	9
13	9.0	0.46875	10	9.0	0.46875	10	10.0	0.5	9
