G	P1D	P1L	P1Fs	P1Ts	P1DTs	P1Fit	P1Behav	P2D	P2L	P2Fs	P2Ts	P2DTs	P2Fit	P2Behav	CD	CL	CFs	CTs	CDTs	CFit	CBehav	Mod_D
5	5	43	18	25	5	4.0	12.5	9	81	36	45	5	5.0	15.625	6	50	23	27	5	3.0	9.375	4
5	5	45	17	28	5	4.0	12.5	4	25	10	15	5	5.0	15.625	4	23	9	14	5	3.0	9.375	2
5	5	120	55	65	5	5.0	15.625	9	81	36	45	5	5.0	15.625	9	149	70	79	5	4.0	12.5	5
5	9	50	21	29	5	4.0	12.5	4	48	18	30	5	4.0	12.5	6	63	25	38	5	3.0	9.375	4
5	3	19	8	11	5	5.0	15.625	5	50	19	31	5	4.0	12.5	8	68	27	41	5	4.0	12.5	3
5	5	43	18	25	5	4.0	12.5	5	112	53	59	5	4.0	12.5	6	62	26	36	5	2.0	6.25	3
5	6	123	55	68	5	4.0	12.5	5	121	55	66	5	5.0	15.625	5	116	52	64	5	3.0	9.375	3
5	5	52	21	31	5	5.0	15.625	4	17	7	10	5	5.0	15.625	5	54	22	32	5	4.0	12.5	4
5	6	28	11	17	5	6.0	18.75	7	54	21	33	5	4.0	12.5	5	26	10	16	5	5.0	15.625	3
5	5	112	53	59	5	4.0	12.5	7	55	23	32	5	5.0	15.625	7	83	37	46	5	3.0	9.375	4
5	2	8	3	5	4	6.0	18.75	6	28	11	17	5	6.0	18.75	4	23	9	14	5	4.0	12.5	2
5	8	119	57	62	5	4.0	12.5	5	50	20	30	5	4.0	12.5	6	50	21	29	5	3.0	9.375	3
5	4	50	20	30	5	5.0	15.625	7	161	70	91	5	5.0	15.625	7	150	66	84	5	4.0	12.5	3
5	9	50	21	29	5	4.0	12.5	5	120	54	66	5	4.0	12.5	9	109	48	61	5	2.0	6.25	2
5	6	51	20	31	5	6.0	18.75	5	121	55	66	5	5.0	15.625	5	124	55	69	5	3.0	9.375	4
5	6	123	55	68	5	4.0	12.5	6	123	55	68	5	4.0	12.5	6	131	58	73	5	3.0	9.375	5
5	6	30	13	17	5	6.0	18.75	8	119	57	62	5	4.0	12.5	8	119	57	62	5	3.0	9.375	5
5	5	52	21	31	5	5.0	15.625	2	8	3	5	4	6.0	18.75	4	24	10	14	5	5.0	15.625	2
5	9	50	21	29	5	4.0	12.5	5	120	55	65	5	5.0	15.625	5	127	58	69	5	3.0	9.375	4
5	7	161	70	91	5	5.0	15.625	5	52	21	31	5	5.0	15.625	7	173	74	99	5	4.0	12.5	5
5	9	81	36	45	5	5.0	15.625	5	45	17	28	5	4.0	12.5	9	87	38	49	5	4.0	12.5	4
5	3	19	8	11	5	5.0	15.625	4	25	10	15	5	5.0	15.625	4	27	11	16	5	4.0	12.5	3
5	5	119	54	65	5	5.0	15.625	8	119	57	62	5	4.0	12.5	5	118	53	65	5	4.0	12.5	4
5	8	119	57	62	5	4.0	12.5	4	48	18	30	5	4.0	12.5	8	56	23	33	5	3.0	9.375	4
5	4	25	10	15	5	5.0	15.625	5	22	10	12	5	5.0	15.625	4	23	9	14	5	4.0	12.5	2
5	5	121	55	66	5	5.0	15.625	6	59	23	36	5	6.0	18.75	5	118	54	64	5	4.0	12.5	4
6	5	127	58	69	5	3.0	9.375	7	129	58	71	5	4.0	12.5	5	118	53	65	5	2.0	6.25	3
6	5	46	19	27	5	4.0	12.5	6	117	55	62	5	4.0	12.5	5	75	34	41	5	3.0	9.375	2
