Generation	ProgID	Fitness	BScore	SatCount	NodeCount	Similarity%	Waste%	Depth	Length	Functions	Terminals	DTerminals	ModD
48	30533386	0.0	0.0	0.5	9	96.84418145956607	93.68836291913215	17	507	243	264	5	8
47	19425177	0.0	0.0	0.5	9	96.63366336633663	93.66336633663367	17	505	242	263	5	5
46	11605581	0.0	0.0	0.5	9	85.82995951417004	92.7765237020316	17	443	212	231	5	10
45	8786515	0.0	0.0	0.5	9	85.62753036437248	92.80898876404494	17	445	213	232	5	5
44	32190111	0.0	0.0	0.5	9	85.02024291497976	92.80898876404494	17	445	213	232	5	20
50	5126145	0.0	0.0	0.5	9	100.0	92.21411192214111	17	411	196	215	5	13
49	28074243	0.0	0.0	0.5	9	98.78345498783455	92.13759213759214	17	407	194	213	5	8
48	7344688	0.0	0.0	0.5	9	98.54014598540147	92.1760391198044	17	409	195	214	5	6
47	21629812	0.0	0.0	0.5	9	90.9706546275395	92.7765237020316	17	443	212	231	5	5
46	6204417	0.0	0.0	0.5	9	90.29345372460497	92.7765237020316	17	443	212	231	5	0
45	8038902	0.0	0.0	0.5	9	90.29345372460497	92.7765237020316	17	443	212	231	5	0
44	29984942	0.0	0.0	0.5	9	90.29345372460497	92.7765237020316	17	443	212	231	5	7
43	17892731	0.0	0.0	0.5	9	89.86486486486487	92.7927927927928	17	444	213	231	5	0
42	8498575	0.0	0.0	0.5	9	89.86486486486487	92.7927927927928	17	444	213	231	5	0
41	19427002	0.0	0.0	0.5	9	89.86486486486487	92.7927927927928	17	444	213	231	5	11
40	27646656	0.0	0.0	0.5	9	90.06772009029346	92.7765237020316	17	443	213	230	5	13
39	30969189	0.0	0.0	0.5	9	89.39051918735892	92.7765237020316	17	443	213	230	5	13
38	17960685	0.0	0.0	0.5	9	88.73873873873875	92.7927927927928	17	444	213	231	5	20
50	20898151	0.0	0.0	0.5	9	100.0	94.31616341030195	17	563	268	295	5	0
49	22986583	0.0	0.0	0.5	9	100.0	94.31616341030195	17	563	268	295	5	12
48	16113904	0.0	0.0	0.5	9	96.5034965034965	94.4055944055944	17	572	272	300	5	9
47	3243394	0.0	0.0	0.5	9	94.6551724137931	94.48275862068965	17	580	276	304	5	12
46	13071634	0.0	0.0	0.5	9	94.45407279029463	94.45407279029463	17	577	275	302	5	13
45	19170579	0.0	0.0	0.5	9	94.12780656303973	94.47322970639033	17	579	276	303	5	12
