G	P1F	P1B	P2F	P2B	CF	CB
2	8.0	25.0	6.0	18.75	8.0	25.0
2	8.0	25.0	6.0	18.75	8.0	25.0
2	8.0	25.0	10.0	31.25	8.0	25.0
2	8.0	25.0	10.0	31.25	10.0	31.25
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	8.0	25.0
2	8.0	25.0	8.0	25.0	10.0	31.25
2	9.0	28.125	6.0	18.75	10.0	31.25
2	9.0	28.125	6.0	18.75	6.0	18.75
2	8.0	25.0	8.0	25.0	10.0	31.25
2	8.0	25.0	8.0	25.0	11.0	34.375
2	8.0	25.0	9.0	28.125	8.0	25.0
