G	P1PT	P1SC	P1NC	P2PT	P2SC	P2NC	CPT	CSC	CNC
1	1.0	0.5	1	2.0	0.75	2	2.0	0.75	2
1	1.0	0.5	1	2.0	0.75	2	2.0	0.75	2
1	3.0	0.5625	5	3.0	0.5625	5	3.0	0.4375	5
1	3.0	0.5625	5	3.0	0.5625	5	1.0	0.25	2
1	2.0	0.375	4	3.0	0.5625	5	1.0	0.125	3
1	2.0	0.375	4	3.0	0.5625	5	2.0	0.625	3
1	3.0	0.5625	5	1.0	0.25	2	5.0	0.5	8
1	3.0	0.5625	5	1.0	0.25	2	1.0	0.5	1
1	2.0	0.375	4	2.0	0.5	3	2.0	0.5	3
1	2.0	0.375	4	2.0	0.5	3	2.0	0.375	4
1	4.0	0.75	5	3.0	0.625	4	4.0	0.71875	7
1	4.0	0.75	5	3.0	0.625	4	2.0	0.5	3
1	3.0	0.15625	6	3.0	0.8125	4	2.0	0.1875	5
1	3.0	0.15625	6	3.0	0.8125	4	5.0	0.875	5
1	1.0	0.5	1	3.0	0.15625	6	1.0	0.5	1
1	1.0	0.5	1	3.0	0.15625	6	0.0	0.0	0
1	3.0	0.8125	4	3.0	0.25	6	3.0	0.5	4
1	3.0	0.8125	4	3.0	0.25	6	3.0	0.4375	4
1	1.0	0.25	2	2.0	0.75	2	2.0	0.75	2
1	1.0	0.25	2	2.0	0.75	2	1.0	0.25	2
1	3.0	0.625	4	3.0	0.5625	5	2.0	0.375	3
1	3.0	0.625	4	3.0	0.5625	5	4.0	0.6875	6
1	12.0	0.65625	12	2.0	0.375	3	12.0	0.65625	12
1	12.0	0.65625	12	2.0	0.375	3	1.0	0.25	2
1	2.0	0.375	3	2.0	0.375	4	2.0	0.375	4
1	2.0	0.375	3	2.0	0.375	4	2.0	0.375	3
1	2.0	0.375	3	2.0	0.75	2	2.0	0.375	4
1	2.0	0.375	3	2.0	0.75	2	3.0	0.875	3
1	3.0	0.25	6	2.0	0.75	2	1.0	0.125	3
1	3.0	0.25	6	2.0	0.75	2	2.0	0.75	2
1	1.0	0.5	1	2.0	0.75	2	3.0	0.875	3
1	1.0	0.5	1	2.0	0.75	2	1.0	0.25	2
1	1.0	0.25	2	3.0	0.625	3	2.0	0.75	2
1	1.0	0.25	2	3.0	0.625	3	3.0	0.875	3
